period,stock_symbol,ordinary_shares_number,share_issued,total_debt,cash_and_cash_equivalents
2021-06-30 00:00:00,AMCR,1535000000.00,1538000000.00,6751000000.00,850000000.00
2020-06-30 00:00:00,AMCR,,,,
2023-12-31 00:00:00,AEE,266300000.00,266300000.00,16506000000.00,25000000.00
2022-12-31 00:00:00,AEE,262000000.00,262000000.00,15095000000.00,10000000.00
2021-12-31 00:00:00,AEE,257700000.00,257700000.00,13612000000.00,8000000.00
2020-12-31 00:00:00,AEE,253300000.00,253300000.00,11576000000.00,139000000.00
2019-12-31 00:00:00,AEE,,,,
2023-12-31 00:00:00,AAL,654273192.00,654273192.00,40663000000.00,578000000.00
2022-12-31 00:00:00,AAL,650642461.00,650642461.00,43687000000.00,440000000.00
2021-12-31 00:00:00,AAL,647727595.00,647727595.00,46177000000.00,273000000.00
2020-12-31 00:00:00,AAL,621479522.00,621479522.00,41021000000.00,245000000.00
2019-12-31 00:00:00,AAL,,,,
2023-12-31 00:00:00,AEP,526184585.00,527369157.00,43608500000.00,330100000.00
2022-12-31 00:00:00,AEP,513866081.00,525099321.00,41579300000.00,509400000.00
2021-12-31 00:00:00,AEP,504212015.00,524416175.00,36658900000.00,403400000.00
2020-12-31 00:00:00,AEP,496604194.00,516808354.00,34431500000.00,392700000.00
2019-12-31 00:00:00,AEP,,,,
2023-12-31 00:00:00,AXP,723000000.00,723000000.00,49159000000.00,46530000000.00
2022-12-31 00:00:00,AXP,743000000.00,743000000.00,43921000000.00,33537000000.00
2021-12-31 00:00:00,AXP,761000000.00,761000000.00,40918000000.00,21522000000.00
2020-12-31 00:00:00,AXP,805000000.00,805000000.00,44830000000.00,32826000000.00
2019-12-31 00:00:00,AXP,,,,
2023-12-31 00:00:00,AIG,688839771.00,1906671492.00,22387000000.00,2155000000.00
2022-12-31 00:00:00,AIG,734128056.00,1906671492.00,27179000000.00,2043000000.00
2021-12-31 00:00:00,AIG,818687363.00,1906671492.00,30163000000.00,2198000000.00
2020-12-31 00:00:00,AIG,861558049.00,1906671492.00,37534000000.00,2827000000.00
2019-12-31 00:00:00,AIG,,,,
2023-12-31 00:00:00,AMT,466295971.00,477300418.00,47154800000.00,1973300000.00
2022-12-31 00:00:00,AMT,465618791.00,476623238.00,47051000000.00,2028400000.00
2021-12-31 00:00:00,AMT,455772376.00,466686781.00,52008600000.00,1949900000.00
2020-12-31 00:00:00,AMT,444330360.00,455244765.00,36711800000.00,1746300000.00
2019-12-31 00:00:00,AMT,,,,
2023-12-31 00:00:00,AWK,194730101.00,200144968.00,12442000000.00,330000000.00
2022-12-31 00:00:00,AWK,181858062.00,187200539.00,12452000000.00,85000000.00
2021-12-31 00:00:00,AWK,181611089.00,186880413.00,11062000000.00,116000000.00
2020-12-31 00:00:00,AWK,181298492.00,186466707.00,11021000000.00,547000000.00
2019-12-31 00:00:00,AWK,,,,
2023-12-31 00:00:00,AMP,100173212.00,336780893.00,5755000000.00,7564000000.00
2022-12-31 00:00:00,AMP,105278990.00,335864062.00,5385000000.00,7097000000.00
2021-12-31 00:00:00,AMP,110861010.00,334828117.00,5196000000.00,7248000000.00
2020-12-31 00:00:00,AMP,116765613.00,332390132.00,4944000000.00,6845000000.00
2019-12-31 00:00:00,AMP,,,,
2023-12-31 00:00:00,AME,230930096.00,269284250.00,3374402000.00,409804000.00
2022-12-31 00:00:00,AME,230050658.00,268588293.00,2431373000.00,345386000.00
2021-12-31 00:00:00,AME,231662296.00,267800160.00,2720695000.00,346772000.00
2020-12-31 00:00:00,AME,230519187.00,266746248.00,2458673000.00,1212822000.00
2019-12-31 00:00:00,AME,,,,
2023-12-31 00:00:00,AMGN,535400000.00,535400000.00,64613000000.00,10944000000.00
2022-12-31 00:00:00,AMGN,534000000.00,534000000.00,38945000000.00,7629000000.00
2021-12-31 00:00:00,AMGN,558300000.00,558300000.00,33309000000.00,7989000000.00
2020-12-31 00:00:00,AMGN,578300000.00,578300000.00,32986000000.00,6266000000.00
2019-12-31 00:00:00,AMGN,,,,
2023-12-31 00:00:00,APH,1197800000.00,1201200000.00,4337300000.00,1475000000.00
2022-12-31 00:00:00,APH,1189600000.00,1192000000.00,4577700000.00,1373100000.00
2021-12-31 00:00:00,APH,1198200000.00,1201400000.00,4799900000.00,1197100000.00
2020-12-31 00:00:00,APH,1197200000.00,1201200000.00,3866500000.00,1702000000.00
2019-12-31 00:00:00,APH,,,,
2023-10-31 00:00:00,ADI,496261678.00,496261678.00,7013478000.00,958061000.00
2022-10-31 00:00:00,ADI,509295941.00,509295941.00,6602253000.00,1470572000.00
2021-10-31 00:00:00,ADI,525330672.00,525330672.00,6822451000.00,1977964000.00
2020-10-31 00:00:00,ADI,369484899.00,369484899.00,5185025000.00,1055860000.00
2019-10-31 00:00:00,ADI,,,,
2023-12-31 00:00:00,ANSS,86905860.00,95267307.00,854396000.00,860201000.00
2022-12-31 00:00:00,ANSS,86949918.00,95267307.00,866376000.00,614391000.00
2021-12-31 00:00:00,ANSS,87078976.00,95267307.00,857954000.00,667667000.00
2020-12-31 00:00:00,ANSS,86572511.00,95266320.00,919058000.00,912672000.00
2019-12-31 00:00:00,ANSS,,,,
2023-12-31 00:00:00,AON,198587145.00,198587145.00,12032000000.00,778000000.00
2022-12-31 00:00:00,AON,205400000.00,205400000.00,11677000000.00,690000000.00
2021-12-31 00:00:00,AON,214800000.00,214800000.00,10423000000.00,544000000.00
2020-12-31 00:00:00,AON,225500000.00,225500000.00,8925000000.00,884000000.00
2019-12-31 00:00:00,AON,,,,
2023-12-31 00:00:00,APA,303575901.00,420595901.00,5304000000.00,87000000.00
2022-12-31 00:00:00,APA,311559149.00,419869987.00,5620000000.00,245000000.00
2021-12-31 00:00:00,APA,346930765.00,419078606.00,7609000000.00,302000000.00
2020-12-31 00:00:00,APA,377482630.00,418429375.00,8888000000.00,262000000.00
2019-12-31 00:00:00,APA,,,,
2023-09-30 00:00:00,AAPL,15550061000.00,15550061000.00,123930000000.00,29965000000.00
2022-09-30 00:00:00,AAPL,15943425000.00,15943425000.00,132480000000.00,23646000000.00
2021-09-30 00:00:00,AAPL,16426786000.00,16426786000.00,136522000000.00,34940000000.00
2020-09-30 00:00:00,AAPL,16976763000.00,16976763000.00,122278000000.00,38016000000.00
2023-10-31 00:00:00,AMAT,833000000.00,2024000000.00,5999000000.00,6132000000.00
2022-10-31 00:00:00,AMAT,844000000.00,2017000000.00,5829000000.00,1995000000.00
2021-10-31 00:00:00,AMAT,892000000.00,2011000000.00,5753000000.00,4995000000.00
2020-10-31 00:00:00,AMAT,914000000.00,2005000000.00,5707000000.00,5351000000.00
2019-10-31 00:00:00,AMAT,,,,
2023-12-31 00:00:00,APTV,279033365.00,279033365.00,6787000000.00,1640000000.00
2022-12-31 00:00:00,APTV,270949579.00,270949579.00,6961000000.00,1531000000.00
2021-12-31 00:00:00,APTV,270514140.00,270514140.00,4463000000.00,3139000000.00
2020-12-31 00:00:00,APTV,270025374.00,270025374.00,4501000000.00,2821000000.00
2019-12-31 00:00:00,APTV,,,,
2023-12-31 00:00:00,ACGL,373400000.00,591900000.00,2726000000.00,917000000.00
2022-12-31 00:00:00,ACGL,370345997.00,588250762.00,2725000000.00,855000000.00
2021-12-31 00:00:00,ACGL,378923894.00,583289850.00,2724394000.00,858668000.00
2020-12-31 00:00:00,ACGL,406720642.00,579000841.00,3016800000.00,906448000.00
2019-12-31 00:00:00,ACGL,,,,
