period,stock_symbol,ebitda,ebit,diluted_eps,basic_eps,net_income,tax_provision,pretax_income,operating_income,operating_expense,gross_profit,total_revenue,operating_revenue
2023-12-31 00:00:00,DHR,7496000000.00,5330000000.00,6.3800,6.4400,4764000000.00,823000000.00,5044000000.00,5279000000.00,8755000000.00,14034000000.00,23890000000.00,23890000000.00
2022-12-31 00:00:00,DHR,9482000000.00,7350000000.00,9.6600,9.8000,7209000000.00,818000000.00,7146000000.00,7536000000.00,8652000000.00,16188000000.00,26643000000.00,26643000000.00
2021-12-31 00:00:00,DHR,8804000000.00,6742000000.00,8.6100,8.7700,6433000000.00,1064000000.00,6511000000.00,6387000000.00,8852000000.00,15239000000.00,24802000000.00,24802000000.00
2020-12-31 00:00:00,DHR,6545000000.00,4770000000.00,4.8900,4.9700,3646000000.00,849000000.00,4495000000.00,4231000000.00,8244000000.00,12475000000.00,22284000000.00,22284000000.00
2019-12-31 00:00:00,DHR,,,,,,,,,,,,
2024-05-31 00:00:00,DRI,1778600000.00,1318700000.00,8.5100,8.5700,1027600000.00,145000000.00,1175500000.00,1326600000.00,1083600000.00,2410200000.00,11390000000.00,11390000000.00
2023-05-31 00:00:00,DRI,1597400000.00,1209600000.00,7.9900,8.0600,981900000.00,137000000.00,1120500000.00,1191200000.00,892200000.00,2083400000.00,10487800000.00,10487800000.00
2022-05-31 00:00:00,DRI,1532500000.00,1164100000.00,7.3900,7.4600,952800000.00,138800000.00,1093500000.00,1160200000.00,834800000.00,1995000000.00,9630000000.00,9630000000.00
2021-05-31 00:00:00,DRI,992600000.00,641700000.00,4.7700,4.8300,629300000.00,-55900000.00,576500000.00,655300000.00,838200000.00,1493500000.00,7196100000.00,7196100000.00
2020-05-31 00:00:00,DRI,,,,,,,,,,,,
2023-12-31 00:00:00,DVA,2321088000.00,1575645000.00,7.4200,7.6200,691535000.00,220116000.00,1177094000.00,1601003000.00,2219427000.00,3820430000.00,12140147000.00,11574941000.00
2022-12-31 00:00:00,DVA,2055899000.00,1323297000.00,5.8500,6.0300,560400000.00,198087000.00,966278000.00,1312542000.00,2087799000.00,3400341000.00,11609894000.00,11176464000.00
2021-12-31 00:00:00,DVA,2484363000.00,1803748000.00,8.9000,9.3000,978450000.00,306732000.00,1518494000.00,1770433000.00,1875950000.00,3646383000.00,11618797000.00,11213515000.00
2020-12-31 00:00:00,DVA,2252808000.00,1622373000.00,6.3100,6.4600,773642000.00,313932000.00,1318262000.00,1683972000.00,1878019000.00,3561991000.00,11550604000.00,11026251000.00
2019-12-31 00:00:00,DVA,,,,,,,,,,,,
2023-12-31 00:00:00,DAY,264600000.00,132100000.00,0.3500,0.3500,54800000.00,41200000.00,96000000.00,133100000.00,513400000.00,646500000.00,1513700000.00,1513700000.00
2022-12-31 00:00:00,DAY,54700000.00,-34300000.00,-0.4800,-0.4800,-73400000.00,10500000.00,-62900000.00,-25800000.00,499000000.00,473200000.00,1246200000.00,1246200000.00
2021-12-31 00:00:00,DAY,23100000.00,-54400000.00,-0.5000,-0.5000,-75400000.00,-14900000.00,-90300000.00,-35500000.00,417800000.00,382300000.00,1024200000.00,1024200000.00
2020-12-31 00:00:00,DAY,56900000.00,5100000.00,-0.0300,-0.0300,-4000000.00,-16000000.00,-20000000.00,7800000.00,333500000.00,341300000.00,842500000.00,842500000.00
2019-12-31 00:00:00,DAY,,,,,,,,,,,,
2019-12-31 00:00:00,EXR,,,,,,,,,,,,
2024-03-31 00:00:00,DECK,1038671000.00,981505000.00,29.1600,29.3600,759563000.00,219378000.00,978941000.00,927514000.00,1457974000.00,2385488000.00,4287763000.00,4287763000.00
2023-03-31 00:00:00,DECK,716869000.00,669524000.00,19.3700,19.5000,516822000.00,149260000.00,666082000.00,652751000.00,1172619000.00,1825370000.00,3627286000.00,3627286000.00
